Iteracion,TamanoPareto,PoblacionUnica,DiversidadRutas,MejorLatencia,MejorPerdida,MejorJitter,MejorAnchoBanda,PromedioIntentosSinMejora
118,32,30,0.9267001357518599,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,6.533333333333333
119,32,30,0.9223129456750148,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,6.166666666666667
120,32,30,0.922687296739021,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,6.3
121,32,30,0.9117282175040796,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,5.866666666666666
122,32,30,0.9097913985946442,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,4.733333333333333
123,32,30,0.9134264697182388,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,5.466666666666667
124,32,30,0.9148974733102522,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,6.4
125,32,30,0.9232031681255018,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,7.066666666666666
126,32,30,0.9376164178331012,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,5.433333333333334
127,32,30,0.9281456172085509,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,5.633333333333334
128,32,30,0.9296516801230157,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,4.833333333333333
129,32,30,0.9258303605717398,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,5.833333333333333
130,32,30,0.926304063114408,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,7.133333333333334
131,32,30,0.9248239755136307,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,7.7
132,32,30,0.9278042615111581,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,8.233333333333333
133,32,30,0.9273422522560455,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,8.866666666666667
134,32,30,0.933992284864229,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,7.266666666666667
135,32,30,0.9308883574286052,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,7.966666666666667
136,32,30,0.9234099425478737,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,8.766666666666667
137,32,30,0.9205228870746113,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,10.5
138,32,30,0.9262216327733569,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,11.866666666666667
139,32,30,0.9254623728761661,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,12.533333333333333
140,32,30,0.9289411354928597,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,10.433333333333334
141,32,30,0.9265401574985753,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,10.633333333333333
142,32,30,0.9294182935217951,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,11.9
143,32,30,0.9227460170854536,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,12.3
144,32,30,0.9244200299041416,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,10.666666666666666
145,32,30,0.9293254870447555,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,7.1
146,32,30,0.937810853163943,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,6.4
147,32,30,0.9375350922092358,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,7.433333333333334
148,32,30,0.942141863106452,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,6.133333333333334
149,32,30,0.9353217097422819,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,6.066666666666666
150,32,30,0.9318388097140633,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,5.366666666666666
151,32,30,0.9303255205841413,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,4.633333333333334
152,32,30,0.9319183425319328,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,4.466666666666667
153,32,30,0.9284082775462087,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,5.0
154,32,30,0.9238314709105785,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,5.1
155,32,30,0.9182289645220679,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,6.2
156,32,30,0.9244937182868218,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,4.933333333333334
157,32,30,0.9274316679489093,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,5.066666666666666
158,32,30,0.9241242464619747,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,5.6
159,32,30,0.9277339700716983,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,6.166666666666667
160,32,30,0.9297759128032962,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,4.833333333333333
161,32,30,0.9253528636490098,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,4.866666666666666
162,32,30,0.9193975724148138,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,6.066666666666666
163,32,30,0.919479722065929,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,6.066666666666666
164,32,30,0.9210371078474527,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,5.933333333333334
165,32,30,0.923904648990856,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,6.866666666666666
166,32,30,0.9196760519174313,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,8.1
